rho,alpha,rep,method,accuracy,macro_f1,auc,signal_recovery_rate,copy_dilution,root_feature,n_nodes,depth,importance_0,importance_1,importance_2,importance_3,importance_4,importance_5,importance_6,importance_7,importance_8,importance_9,importance_10,importance_11,importance_12,importance_13,importance_14,importance_15,importance_16,importance_17,importance_18,importance_19,importance_20,importance_21,importance_22,importance_23,importance_24,group_coverage,group_concentration,noise_importance
0.7,0.0,0,CART,0.8066666666666666,0.806658073692164,0.8468616642958748,0.8,0.2187188136488717,0,75,6,0.3284570298277867,0.2675935201563993,0.0645980906014229,0.0310526660199324,0.0598578722807877,0.003704679290947,0.0056438473573022,0.0766307525690147,0.0,0.0312582315173661,0.0273517948286915,0.0,0.0,0.0243119578468403,0.0,0.0288219260592011,0.0,0.0209956241795084,0.0,0.0,0.0,0.0141130639655127,0.0,0.0,0.0156089434992863,0.8,0.7196750286453903,0.029722007464799
0.7,0.0,0,RRF-style,0.8066666666666666,0.8064516129032258,0.8414162517780939,0.8,0.2026438710428426,0,69,6,0.3589346007196587,0.2359955943726245,0.077377134689511,0.0477582736761479,0.043618312444865,0.0,0.0,0.0813737620395549,0.0,0.0453842513299839,0.0131719342077383,0.0384375810387099,0.0,0.0242763424268555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336722130543498,0.0,0.0,0.0,0.8,0.8337452257383718,0.0336722130543498
0.7,0.0,0,ACP-Gini,0.8066666666666666,0.806658073692164,0.8468616642958748,0.8,0.2187188136488717,0,75,6,0.3284570298277867,0.2675935201563993,0.0645980906014229,0.0310526660199324,0.0598578722807877,0.003704679290947,0.0056438473573022,0.0766307525690147,0.0,0.0312582315173661,0.0273517948286915,0.0,0.0,0.0243119578468403,0.0,0.0288219260592011,0.0,0.0209956241795084,0.0,0.0,0.0,0.0141130639655127,0.0,0.0,0.0156089434992863,0.8,0.7196750286453903,0.029722007464799
0.7,0.2,0,ACP-Gini,0.8066666666666666,0.8066322901849218,0.8461948790896159,0.8,0.1683513600461548,0,71,6,0.3938569772361423,0.2657038564604337,0.1048154909909819,0.0059612731577158,0.0367160517790614,0.0,0.0,0.0178536668797229,0.0,0.0312641172891651,0.038069810330429,0.0,0.0,0.0243165356693506,0.0,0.0336906602204928,0.0,0.0231565696569941,0.0,0.0,0.0,0.0208896134656088,0.003705376863901,0.0,0.0,0.8,0.804856057467591,0.0245949903295098
0.7,0.4,0,ACP-Gini,0.8333333333333334,0.8332666399893291,0.8501289118065434,0.8,0.1177808051195937,0,69,6,0.4075147706876468,0.2913316112990997,0.1067790182726215,0.0142133829015284,0.0373564426231224,0.0,0.0,0.0019211992433916,0.0,0.0318094170556027,0.0014707881548636,0.0,0.0,0.0247406577099132,0.0,0.0342782830527462,0.0,0.023560459903076,0.0,0.0,0.0,0.0212539641120196,0.0037700049843677,0.0,0.0,1.0,0.8049594287880151,0.025023969096387298
0.7,0.6,0,ACP-Gini,0.8333333333333334,0.8332666399893291,0.8432387980085349,0.8,0.1161800587008348,0,67,6,0.409371405352635,0.2926589162398066,0.1072655027906767,0.0156466815461144,0.0375266383345999,0.0,0.0,0.0,0.0,0.0319543405543973,0.0,0.0,0.0,0.0248533759867534,0.0,0.0357045409533582,0.0,0.0236678012063258,0.0,0.0,0.0,0.0213507970353323,0.0,0.0,0.0,1.0,0.8043969715764563,0.0213507970353323
0.7,0.8,0,ACP-Gini,0.85,0.8498648783905515,0.8795119132290186,0.8,0.1068559842422626,0,73,6,0.3947901932190745,0.3124771695400244,0.0984017858595813,0.0145037049928157,0.0428982605727694,0.0,0.0,0.0,0.0,0.0,0.0,0.0079816890800113,0.0,0.0378333649700912,0.0,0.0312193993045498,0.0,0.0298215308876102,0.0,0.0,0.0,0.0216880968833588,0.0083848046901129,0.0,0.0,0.8,0.7910045376356476,0.0300729015734717
0.7,1.0,0,ACP-Gini,0.85,0.8498648783905515,0.8795119132290186,0.8,0.1068559842422626,0,73,6,0.3947901932190745,0.3124771695400244,0.0984017858595813,0.0145037049928157,0.0428982605727694,0.0,0.0,0.0,0.0,0.0,0.0,0.0079816890800113,0.0,0.0378333649700912,0.0,0.0312193993045498,0.0,0.0298215308876102,0.0,0.0,0.0,0.0216880968833588,0.0083848046901129,0.0,0.0,0.8,0.7910045376356476,0.0300729015734717
0.7,0.0,1,CART,0.77,0.7631551848419318,0.7912930416068866,0.8,0.1900412841656613,0,67,6,0.4058407187952715,0.2083862759526244,0.1077504690042489,0.0393837145451557,0.0119874361060129,0.0204474822430633,0.0,0.0125232174270437,0.0226278871801563,0.0,0.0,0.0287635968432022,0.0105565520762922,0.0427681741483713,0.0113295453807433,0.0044862134603665,0.0166272616018086,0.0199113538046136,0.0,0.0,0.0,0.021667922940685,0.01494217849034,0.0,0.0,0.8,0.7134044601127799,0.036610101431025
0.7,0.0,1,RRF-style,0.81,0.8052192138146279,0.8593301649928263,0.8,0.0345236958344179,0,65,6,0.4513868435305141,0.2470535525078161,0.1752124331509295,0.0723301114759021,0.0,0.0,0.0,0.0,0.0106138903648002,0.0,0.0,0.0124536313613656,0.0,0.0,0.0114561741082521,0.0,0.0,0.0,0.0,0.0,0.0,0.0194933635004201,0.0,0.0,0.0,0.8,0.7511432604840096,0.0194933635004201
0.7,0.0,1,ACP-Gini,0.77,0.7631551848419318,0.7912930416068866,0.8,0.1900412841656613,0,67,6,0.4058407187952715,0.2083862759526244,0.1077504690042489,0.0393837145451557,0.0119874361060129,0.0204474822430633,0.0,0.0125232174270437,0.0226278871801563,0.0,0.0,0.0287635968432022,0.0105565520762922,0.0427681741483713,0.0113295453807433,0.0044862134603665,0.0166272616018086,0.0199113538046136,0.0,0.0,0.0,0.021667922940685,0.01494217849034,0.0,0.0,0.8,0.7134044601127799,0.036610101431025
